"","Assemblage","Species","1979","1999","2019","Status"
"76","Fescue","Hypericum_scouleri",0.310344827586207,0,0,"Native"
"77","Fescue","Impatiens_capensis",0.275862068965517,0.424242424242424,0.611111111111111,"Native"
"78","Fescue","Iris_pseudacorus",0,0,0.222222222222222,"Exotic"
"79","Fescue","Iris_pseudocorus",0,0.151515151515152,0,"Native"
"80","Fescue","Juncus_articulatus",0.517241379310345,0.0606060606060606,0,"Native"
"81","Fescue","Juncus_effusus",0,0,0.0555555555555556,"Native"
"82","Fescue","Juncus_oxymeris",0,0.0909090909090909,0,"Native"
"83","Fescue","Lathyrus_palustris",0.551724137931034,0.181818181818182,0.555555555555556,"Native"
"84","Fescue","Leersia_oryzoides",0.137931034482759,0.242424242424242,0,"Native"
"85","Fescue","Lilaeopsis_occidentalis",0.172413793103448,0,0,"Native"
"86","Fescue","Lycopus_europaeus",0,0,0.0555555555555556,"Exotic"
"87","Fescue","Lysichiton_americanus",0,0,0.111111111111111,"Native"
"88","Fescue","Lysimachia_thyrsiflora",0.103448275862069,0.333333333333333,0.0555555555555556,"Native"
"89","Fescue","Lythrum_salicaria",0.379310344827586,0.575757575757576,0.444444444444444,"Exotic"
"90","Fescue","Mentha_aquatica",0.103448275862069,0.0909090909090909,0,"Exotic"
"91","Fescue","Mentha_arvensis",0.172413793103448,0.242424242424242,0.0555555555555556,"Exotic"
"92","Fescue","Menyanthes_trifoliata",1.86206896551724,1.33333333333333,0.0555555555555556,"Native"
"93","Fescue","Mimulus_guttatus",0.0344827586206897,0,0,"Native"
"94","Fescue","Myosotis_scorpiodes",0,0.0303030303030303,0,"Native"
"95","Fescue","Myosotis_scorpioides",0.310344827586207,0,0,"Exotic"
"96","Fescue","Myrica_gale",0,0,0.222222222222222,"Native"
"97","Fescue","Oenanthe_sarmentosa",0.172413793103448,0.303030303030303,0,"Native"
"98","Fescue","Phalaris_arundinacea",0.0689655172413793,0.151515151515152,1.05555555555556,"Exotic"
"99","Fescue","Platanthera_dilatata",0.206896551724138,0.0303030303030303,0,"Native"
"100","Fescue","Poa_cf_palustris",0,1.72727272727273,0,"Native"
"101","Fescue","Poa_palustris",0.551724137931034,0,0,"Native"
"102","Fescue","Poa_trivialis",0.310344827586207,0,0,"Native"
"103","Fescue","Polygonum_hydropiper",0.0344827586206897,0,0,"Native"
"104","Fescue","Potentilla_pacifica",0.482758620689655,0.636363636363636,0.222222222222222,"Native"
"105","Fescue","Rumex_occidentalis",0.0689655172413793,0.151515151515152,0.111111111111111,"Native"
"106","Fescue","Sagittaria_latifolia",0.0344827586206897,0.151515151515152,0,"Native"
"107","Fescue","Salix_lasiandra",1,0.393939393939394,0.111111111111111,"Native"
"108","Fescue","Salix_scouleriana",0,0,0.166666666666667,"Native"
"109","Fescue","Salix_sitchensis",0,0.0303030303030303,0,"Native"
"110","Fescue","Salix_sp",0.0344827586206897,0,0,"Unknown"
"111","Fescue","Schoenoplectus_tabernaemontani",0.0689655172413793,0.151515151515152,0.0555555555555556,"Native"
"112","Fescue","Sidalcea_hendersonii",0.413793103448276,0,0.222222222222222,"Native"
"113","Fescue","Sidalcia_hendersonii",0,0.181818181818182,0,"Native"
"114","Fescue","Sium_suave",0.137931034482759,0.151515151515152,0,"Native"
"115","Fescue","Symphotrichum_subspicatum",0.586206896551724,0.242424242424242,0,"Native"
"116","Fescue","Trifolium_wormskioldii",0.689655172413793,0.545454545454545,0,"Native"
"117","Fescue","Typha_latifolia",0.689655172413793,0.363636363636364,0.444444444444444,"Native"
"118","Sedge","Agrostis_stolonifera",1.85294117647059,2.32258064516129,1.25,"Exotic"
"119","Sedge","Alisma_plantago.aquatica",0.352941176470588,0.0645161290322581,0,"Exotic"
"120","Sedge","Bidens_cernua",0.470588235294118,0.129032258064516,0.214285714285714,"Native"
"121","Sedge","Caltha_palustris",1.08823529411765,0.483870967741935,0.0357142857142857,"Native"
"122","Sedge","Carex_lyngbei",2.97058823529412,0,0,"Native"
"123","Sedge","Carex_lyngbyei",0,3.03225806451613,1.92857142857143,"Native"
"124","Sedge","Cirsium_arvense",0,0.032258064516129,0,"Exotic"
"125","Sedge","Deschampsia_caespitosa",0.205882352941176,0,0,"Native"
"126","Sedge","Eleocharis_palustris",0.794117647058823,0.354838709677419,0.392857142857143,"Native"
"127","Sedge","Equisetum_arvense",0,0,0.678571428571429,"Native"
"128","Sedge","Equisetum_fluviatile",0.882352941176471,0.580645161290323,0.0357142857142857,"Native"
"129","Sedge","Equisetum_palustre",0,0.193548387096774,0,"Native"
"130","Sedge","Festuca_arundinacea",0.0882352941176471,0.0967741935483871,0.178571428571429,"Exotic"
"131","Sedge","Galium_palustre",0,0,0.0357142857142857,"Native"
"132","Sedge","Galium_sp",0,0.032258064516129,0,"Unknown"
"133","Sedge","Galium_trifidum",0,0,0.0714285714285714,"Native"
"134","Sedge","Hypericum_scouleri",0,0,0.0714285714285714,"Native"
"135","Sedge","Impatiens_capensis",0.147058823529412,1.06451612903226,0.857142857142857,"Native"
"136","Sedge","Iris_pseudacorus",0,0,0.25,"Exotic"
"137","Sedge","Iris_pseudocorus",0,0.129032258064516,0,"Native"
"138","Sedge","Juncus_articulatus",0,0,0.0357142857142857,"Native"
"139","Sedge","Juncus_oxymeris",0,0,0.0357142857142857,"Native"
"140","Sedge","Lathyrus_palustris",0.0882352941176471,0.258064516129032,0.464285714285714,"Native"
"141","Sedge","Leersia_oryzoides",0.176470588235294,0.193548387096774,0,"Native"
"142","Sedge","Lilaeopsis_occidentalis",0.0588235294117647,0,0,"Native"
"143","Sedge","Llilaeopsis_occidentalis",0,0.0967741935483871,0,"Native"
"144","Sedge","Lycopus_europaeus",0,0,0.107142857142857,"Exotic"
"145","Sedge","Lysichiton_americanum",0,0.032258064516129,0,"Native"
"146","Sedge","Lysimachia_thyrsiflora",0.0882352941176471,0,0.107142857142857,"Native"
"147","Sedge","Lythrum_salicaria",0.264705882352941,0.258064516129032,0.392857142857143,"Exotic"
"148","Sedge","Mentha_aquatica",0,0.161290322580645,0.535714285714286,"Exotic"
"149","Sedge","Mentha_arvensis",0.294117647058824,0.161290322580645,0.0357142857142857,"Exotic"
"150","Sedge","Menyanthes_trifoliata",0.323529411764706,0.67741935483871,0.178571428571429,"Native"
"151","Sedge","Mimulus_guttatus",0.0882352941176471,0,0,"Native"
"152","Sedge","Myosotis_scorpioides",0.0294117647058824,0,0,"Exotic"
"153","Sedge","Oenanthe_sarmentosa",0.705882352941177,0.387096774193548,0,"Native"
"154","Sedge","Phalaris_arundinacea",0,0,0.0714285714285714,"Exotic"
"155","Sedge","Platanthera_dilatata",0.0882352941176471,0.032258064516129,0,"Native"
"156","Sedge","Poa_cf_palustris",0,0.225806451612903,0,"Native"
"157","Sedge","Poa_palustris",1,0,0,"Native"
"158","Sedge","Potentilla_pacifica",0.294117647058824,0.741935483870968,0.785714285714286,"Native"
"159","Sedge","Puccinellia_pauciflora",0.0294117647058824,0,0,"Native"
"160","Sedge","Rumex_conglomeratus",0.0294117647058824,0,0.107142857142857,"Exotic"
"161","Sedge","Rumex_occidentalis",0.117647058823529,0.161290322580645,0.107142857142857,"Native"
"162","Sedge","Sagittaria_latifolia",0.411764705882353,0.0967741935483871,0.107142857142857,"Native"
"163","Sedge","Salix_lasiandra",0.0294117647058824,0.032258064516129,0.285714285714286,"Native"
"164","Sedge","Salix_sitchensis",0,0.0645161290322581,0,"Native"
"165","Sedge","Schoenoplectus_tabernaemontani",0.705882352941177,0.0967741935483871,0.107142857142857,"Native"
"166","Sedge","Scirpus_microcarpus",0,0,0.0714285714285714,"Native"
"167","Sedge","Sidalcea_hendersonii",0.0882352941176471,0,0.214285714285714,"Native"
"168","Sedge","Sidalcia_hendersonii",0,0.0967741935483871,0,"Native"
"169","Sedge","Sium_suave",0.588235294117647,0.193548387096774,0,"Native"
"170","Sedge","Symphotrichum_subspicatum",0.294117647058824,0.129032258064516,0.25,"Native"
"171","Sedge","Trifolium_wormskioldii",0.411764705882353,0.129032258064516,0.0714285714285714,"Native"
"172","Sedge","Typha_latifolia",0.588235294117647,0.354838709677419,0.428571428571429,"Native"
